39cd485, 28df627, 88de5b, 1f0b7d5, 1b83776, dbd002, 2fed652, 3d98f81, 370d45c, 53504, 1fe9aeb, 3dd8e45, 2cb7080, 82d8b1, 334abed, 3b30461, 3abaa3e, 2acfe66, b31c51, 2da12, 
306a82a, 18154f0, 384c592, a3bc24, 3c2ef00, 3805fba, 8bcd4e, 16875b0, 2b9fd7b, 175b13, 4339a4, 3b1a368, cb3cf4, 2c550a1, 26c8bf4, eba268, 39ecd7, d9eeca, 38374b8, 6ba45, 
1161d21, a14a85, 3c02e82, 1ca2561, 956d43, 261e50d, 2d4f8b7, 3e6db58, 165ffbd, 92da6, e3a968, f0c7c1, 679658, 22e161, 38e9f, 27e152e, 15bc51d, ba2147, 23c71e6, 95bd6, 
20c5a20, 3c3d17a, 3e6f7, 2808f62, 31e548f, 391b838, 8709a9, 37d4ce, 232ae6, 74121, 15facb2, 1d9637d, 28747ed, 2f710c0, 2d4eb4d, 7e49b9, 2807dd7, 3c9885b, 4a7259, 67427, 
5a42c, 2e25222, 385c039, 3e90939, 243975b, 201213f, 3b8bec2, df3fc7, 160c6e0, 3f37b, 13c98a2, 393fee9, 1e28a3e, 3bfd1f0, 2bed4e0, a57183, 38f9a9f, 3378f8d, 2799d6b, af2be, 
3d70339, 37b1d69, 38eef57, 1fc9da5, 2db5ba2, 2b0cb07, fe6755, 12b20ae, 21dbf8b, e46a6, ce11b6, 8f65fa, 3856f07, 13b33ea, 2a599b4, 30f1a16, 1507246, 1481ab4, 3e1d522, 295c6, 
1514411, 3d273c0, 378a31d, 3f2e2e9, 1ff5f2a, 12ddf24, 124ea60, c4e916, 1fb8fa8, 2c3aa, 1f6429f, 12a8b2d, 2b1a217, 35d53fc, 1cff963, 279d6b1, 3d8ecaf, 177deef, 3d6ba09, 1e145a, 
2e6dd7, 379fa08, 20008ee, 1a89b53, 3b46f94, c53bd0, 3e2563d, 245833d, 2d4af21, 1ac50, 12d272d, 102165a, 1b947d2, 21dd4f0, 1a130f, 2ff254c, 31d353d, 3a71a4f, 1a608ee, d561, 
cf9f90, 1dc59cb, 16e734b, 2251cd8, 10d45b0, 2af45c7, 2ff1960, 1ccfe8b, 3c775e9, 1e1f36, 29a60c7, 428a11, 56f59, 196b3ba, aae304, 82d131, 2ed1028, 18422c6, 376ec94, 2c0b3, 
7a090c, 2d0638a, 28c5e0, 3703e62, 345f07b, 2b9f4bc, 86520e, 17ec082, 75491, a5fd1, 7a6f85, 2f9b8cd, 2c9872e, 1590695, 327a3de, c1a43a, a4e9cd, 2af7e50, 2f78ea2, 10c10e, 
86b9c9, 2d86fa9, 2633c59, 12800d9, aaa408, 1870db5, 1d6d78d, 3a70634, 2700d93, 9f1fc, 25dc698, 1dec776, 8d210d, 24e77dd, 1c9d0d5, 215f20f, 129c000, 176a9f3, 3c5bc36, 170e58, 
Cycle counts:          87632888, 87003678, 86808994, 86903841, 86998184, 87008333, 86810428, 86813070, 86687010, 86606458, 86794997, 86643223, 86928508, 86719512, 86774305, 86856280, 86763029, 87149343, 86576360, 86899292, 
Branch dir mis:        271064, 270960, 270970, 270952, 270961, 270948, 270964, 270969, 270942, 270948, 270967, 270962, 270944, 270950, 270962, 270959, 270969, 270953, 270953, 270950, 
Branch target mis:     14115,  14105,  14101,  13992,  14027,  14117,  14105,  14001,  13997,  14016,  14076,  14096,  14105,  13991,  13995,  14093,  14076,  13999,  13997,  14009, 
Result: c14430be405f9b90b368f2397142723a8bb751b219a94763123ceb9774d3b00d
Expected result: fdb0a2e0df720b96d5b81681053e7a07fc6a33327ba0533b9fbe236db2043042
